tm_id,tm_name,understat_id,understat_name
5974,Matuzalém,2025,Matuzalém
6793,Angelo Palombo,1232,Angelo Palombo
46809,Juan Pablo Pino,4850,Juan Pablo Pino
77100,Lucas Moura,3293,Lucas Moura
127108,Florian Lejeune,5073,Florian Lejeune
134277,Julian Jeanvier,10545,Julian Jeanvier
55409,Younousse Sankharé,3474,Younousse Sankhare
187896,Luís Martins,4163,Luis Martins
90368,Yassine El Ghanassy,6113,Yassine El Ghanassy
120241,Jazz Richards,4467,Jazz Richards
229826,Elliot Lee,1020,Elliot Lee
34561,Johan Djourou,302,Johan Djourou
43763,Erik Pieters,887,Erik Pieters
206912,Jimmy Cabot,3456,Jimmy Cabot
60539,Lamine Gassama,3607,Lamine Gassama
51035,Johny Placide,3595,Johny Placide
135490,Lindsay Rose,3453,Lindsay Rose
216597,Batuhan Altintas,305,Batuhan Altintas
112935,Mark Uth,88,Mark Uth
164265,Dong-won Ji,276,Dong-Won Ji
124884,Marco Bizot,9614,Marco Bizot
111811,Florent Hanin,12848,Florent Hanin
170934,Mario Lemina,1299,Mario Lemina
103890,Luis Advíncula,6967,Luis Advíncula
128229,Robbie Brady,789,Robbie Brady
173832,Michael Doughty,4432,Michael Doughty
181373,Antoine Conte,3238,Antoine Conte
58818,Claudio Beauvue,2502,Claudio Beauvue
170478,Axel Ngando,3331,Axel Ngando
148368,Divock Origi,484,Divock Origi
177781,Georges Gope-Fenepej,6370,Georges Gope-Fenepej
19059,Heurelho Gomes,564,Heurelho Gomes
93935,Sergio Escudero,2064,Sergio Escudero
160080,Yacouba Sylla,3641,Yacouba Sylla
175323,Óscar Duarte,2435,Óscar Duarte
191891,Arkadiusz Milik,1583,Arkadiusz Milik
49347,Mitchell Langerak,2628,Mitchell Langerak
9619,Alan Hutton,663,Alan Hutton
122116,Nicolas de Préville,3244,Nicolas de Preville
28683,Gojko Kacar,386,Gojko Kacar
93056,Emmanuel Frimpong,3137,Emmanuel Frimpong
70245,Ignasi Miquel,6442,Ignasi Miquel
216259,Lucas Souza,3987,Lucas Souza
139396,Bruma,2235,Bruma
176285,Isaac Cuenca,2081,Isaac Cuenca
92738,Mateusz Klich,4381,Mateusz Klich
3924,Didier Drogba,4434,Didier Drogba
156487,Grégoire Puel,4756,Grégoire Puel
146164,Max Meyer,338,Max Meyer
12864,Jaroslav Drobny,178,Jaroslav Drobny
255653,Santi Mina,2384,Santi Mina
69436,Mateo Pavlovic,5731,Mateo Pavlovic
89650,Johannes Geis,336,Johannes Geis
118850,Ivan Ordets,7632,Ivan Ordets
33195,Jan Mucha,4595,Ján Mucha
85626,Sergei Zenjov,4540,Sergei Zenjov
60979,Yannick Boli,2948,Yannick Boli
39373,Darko Bodul,5383,Darko Bodul
18829,Vágner Love,3426,Vágner Love
231306,Guélor Kanga,2779,Guélor Kanga
93831,Tom Trybull,7692,Tom Trybull
46175,Milan Perendija,3049,Milan Perendija
146805,Majeed Waris,3461,Majeed Waris
29692,Lukasz Fabianski,706,Lukasz Fabianski
126352,Pavel Solomatin,2756,Pavel Solomatin
146918,Egor Baburin,4628,Egor Baburin
197751,Alberto Cerri,4906,Alberto Cerri
38607,Federico Di Francesco,1449,Federico Di Francesco
16873,Claudio Terzi,3842,Claudio Terzi
160943,Marc Stendera,289,Marc Stendera
5966,Marius Stankevicius,4315,Marius Stankevicius
174196,Kenny Lala,5975,Kenny Lala
31910,Felix Kroos,120,Felix Kroos
167799,Pierre-Emile Højbjerg,343,Pierre-Emile Højbjerg
231378,Timo Letschert,1575,Timo Letschert
4796,Kader Mangane,3372,Kader Mangane
228604,Luca Crecco,4924,Luca Crecco
170562,Konstantin Bazelyuk,4547,Konstantin Bazelyuk
255450,Aleksey Miranchuk,2711,Aleksey Miranchuk
41866,Constant Djakpa,298,Constant Djakpa
16306,Casemiro,2248,Casemiro
51260,Adlan Katsaev,4559,Adlan Katsaev
127187,Abdoulaye Doucouré,1726,Abdoulaye Doucouré
253316,Lebogang Phiri,5991,Lebogang Phiri
186557,Patrick Banggaard,5278,Patrick Banggaard
220878,Issiaga Sylla,3370,Issiaga Sylla
187460,Vyacheslav Krotov,2910,Vyacheslav Krotov
166601,Niklas Süle,75,Niklas Süle
